CODIGO;MUNICIPIO;PRESUPUESTO
1101;IQUIQUE;59072234
1107;ALTO HOSPICIO;13984411
1401;POZO ALMONTE;7613962
1402;CAMIÑA;1584008
1403;COLCHANE;2500000
1404;HUARA;3950000
1405;PICA;5887820
2101;ANTOFAGASTA;100635302
2102;MEJILLONES;9379132
2103;SIERRA GORDA;8184166
2104;TALTAL;7055873
2201;CALAMA;46212087
2202;OLLAGÜE;2663357
2203;SAN PEDRO DE ATACAMA;7294095
2301;TOCOPILLA;5402459
2302;MARÍA ELENA;4283360
3101;COPIAPÓ;29543912
3102;CALDERA;9127075
3103;TIERRA AMARILLA;6147200
3201;CHAÑARAL;4435860
3202;DIEGO DE ALMAGRO;6284308
3301;VALLENAR;9106767
3302;ALTO DEL CARMEN;3318171
3303;FREIRINA;2998977
3304;HUASCO;3946468
4101;LA SERENA;59222000
4102;COQUIMBO;56819394
4103;ANDACOLLO;3586345
4104;LA HIGUERA;4090360
4105;PAIGUANO;4780000
4106;VICUÑA;8069308
4201;ILLAPEL;6299700
4202;CANELA;3000000
4203;LOS VILOS;7103931
4204;SALAMANCA;12768287
4301;OVALLE;21711795
4302;COMBARBALÁ;3110695
4303;MONTE PATRIA;6681407
4304;PUNITAQUI;3318380
4305;RÍO HURTADO;2090300
5101;VALPARAÍSO;77718000
5102;CASABLANCA;11386627
5103;CONCÓN;13684060
5104;JUAN FERNÁNDEZ;1629692
5105;PUCHUNCAVÍ;7683900
5107;QUINTERO;12250000
5109;VIÑA DEL MAR;100482380
5201;ISLA DE PASCUA;9914468
5301;LOS ANDES;12991512
5302;CALLE LARGA;3549414
5303;RINCONADA;5259050
5304;SAN ESTEBAN;3009539
5401;LA LIGUA;6967050
5402;CABILDO;3876999
5403;PAPUDO;5947500
5404;PETORCA;3544127
5405;ZAPALLAR;20408830
5501;QUILLOTA;17248430
5502;CALERA;7747450
5503;HIJUELAS;4283417
5504;LA CRUZ;5703367
5506;NOGALES;4696549
5601;SAN ANTONIO;21518873
5602;ALGARROBO;No Recepcionado
5603;CARTAGENA;11380129
5604;EL QUISCO;12353172
5605;EL TABO;9582451
5606;SANTO DOMINGO;13339600
5701;SAN FELIPE;18346041
5702;CATEMU;3359823
5703;LLAILLAY;5133425
5704;PANQUEHUE;2542648
5705;PUTAENDO;4206900
5706;SANTA MARÍA;3513325
5801;QUILPUÉ;24359486
5802;LIMACHE;8872592
5803;OLMUÉ;4910700
5804;VILLA ALEMANA;16687000
6101;RANCAGUA;55996193
6102;CODEGUA;3831532
6103;COINCO;2753210
6104;COLTAUCO;4252840
6105;DOÑIHUE;5290000
6106;GRANEROS;5027111
6107;LAS CABRAS;6916345
6108;MACHALÍ;10406400
6109;MALLOA;3316329
6110;MOSTAZAL;No Recepcionado
6111;OLIVAR;3493651
6112;PEUMO;3625811
6113;PICHIDEGUA;3825757
6114;QUINTA DE TILCOCO;2697393
6115;RENGO;8968799
6116;REQUINOA;6363928
6117;SAN VICENTE;8763198
6201;PICHILEMU;10384795
6202;LA ESTRELLA;2490942
6203;LITUECHE;3210790
6204;MARCHIHUE;2598116
6205;NAVIDAD;7642808
6206;PAREDONES;2849624
6301;SAN FERNANDO;14500000
6302;CHÉPICA;3188141
6303;CHIMBARONGO;8273769
6304;LOLOL;2082643
6305;NANCAGUA;5394372
6306;PALMILLA;3234467
6307;PERALILLO;3661210
6308;PLACILLA;2671063
6309;PUMANQUE;2588349
6310;SANTA CRUZ;7699845
7101;TALCA;42998578
7102;CONSTITUCIÓN;14354775
7103;CUREPTO;3194250
7104;EMPEDRADO;2081575
7105;MAULE;6553468
7106;PELARCO;5535788
7107;PENCAHUE;3102700
7108;RÍO CLARO;3805989
7109;SAN CLEMENTE;8392995
7110;SAN RAFAEL;2408324
7201;CAUQUENES;9355351
7202;CHANCO;3160048
7203;PELLUHUE;5469336
7301;CURICÓ;26862347
7302;HUALAÑÉ;5176170
7303;LICANTÉN;3570000
7304;MOLINA;8497305
7305;RAUCO;4776191
7306;ROMERAL;5051025
7307;SAGRADA FAMILIA;6986530
7308;TENO;4814779
7309;VICHUQUÉN;3687940
7401;LINARES;15576072
7402;COLBÚN;7080135
7403;LONGAVÍ;4722611
7404;PARRAL;8278415
7405;RETIRO;3446855
7406;SAN JAVIER;7533750
7407;VILLA ALEGRE;3043200
7408;YERBAS BUENAS;3610765
8101;CONCEPCIÓN;44704000
8102;CORONEL;29894574
8103;CHIGUAYANTE;15456966
8104;FLORIDA;3065000
8105;HUALQUI;5312675
8106;LOTA;8237700
8107;PENCO;8343633
8108;SAN PEDRO DE LA PAZ;20083168
8109;SANTA JUANA;4313960
8110;TALCAHUANO;29795363
8111;TOMÉ;11993342
8112;HUALPÉN;14961392
8201;LEBU;4190000
8202;ARAUCO;6980061
8203;CAÑETE;7147208
8204;CONTULMO;2340043
8205;CURANILAHUE;5615999
8206;LOS ÁLAMOS;4232100
8207;TIRÚA;6234963
8301;LOS ÁNGELES;38251170
8302;ANTUCO;3197788
8303;CABRERO;7582683
8304;LAJA;5251932
8305;MULCHÉN;5011437
8306;NACIMIENTO;5713596
8307;NEGRETE;2777533
8308;QUILACO;2040880
8309;QUILLECO;3032686
8310;SAN ROSENDO;1694660
8311;SANTA BÁRBARA;3380777
8312;TUCAPEL;4030782
8313;YUMBEL;6930517
8314;ALTO BIOBÍO;2137930
9101;TEMUCO;66388232
9102;CARAHUE;5502032
9103;CUNCO;5351699
9104;CURARREHUE;2437620
9105;FREIRE;5886237
9106;GALVARINO;3017152
9107;GORBEA;3830556
9108;LAUTARO;8005476
9109;LONCOCHE;5149741
9110;MELIPEUCO;2336105
9111;NUEVA IMPERIAL;7550000
9112;PADRE LAS CASAS;13524153
9113;PERQUENCO;2754255
9114;PITRUFQUÉN;4330000
9115;PUCÓN;9407039
9116;SAAVEDRA;4134489
9117;TEODORO SCHMIDT;3641529
9118;TOLTÉN;2651040
9119;VILCÚN;5372994
9120;VILLARRICA;10772491
9121;CHOLCHOL;3266000
9201;ANGOL;8768839
9202;COLLIPULLI;5773662
9203;CURACAUTÍN;4998389
9204;ERCILLA;2446670
9205;LONQUIMAY;3184570
9206;LOS SAUCES;2473372
9207;LUMACO;2795624
9208;PURÉN;2829088
9209;RENAICO;2587480
9210;TRAIGUÉN;4193138
9211;VICTORIA;6868857
10101;PUERTO MONTT;52090583
10102;CALBUCO;5800000
10103;COCHAMÓ;2771217
10104;FRESIA;2889074
10105;FRUTILLAR;3660000
10106;LOS MUERMOS;3240148
10107;LLANQUIHUE;3809054
10108;MAULLÍN;3500000
10109;PUERTO VARAS;10032229
10201;CASTRO;10841402
10202;ANCUD;14368130
10203;CHONCHI;7659290
10204;CURACO DE VÉLEZ;2626500
10205;DALCAHUE;5824378
10206;PUQUELDÓN;3028381
10207;QUEILÉN;2751001
10208;QUELLÓN;5297637
10209;QUEMCHI;3100162
10210;QUINCHAO;2813450
10301;OSORNO;30000000
10302;PUERTO OCTAY;2344532
10303;PURRANQUE;3988842
10304;PUYEHUE;2921588
10305;RÍO NEGRO;2824377
10306;SAN JUAN DE LA COSTA;3069820
10307;SAN PABLO;3081960
10401;CHAITÉN;3210881
10402;FUTALEUFÚ;2267646
10403;HUALAIHUÉ;2727674
10404;PALENA;1634696
11101;COYHAIQUE;13440140
11102;LAGO VERDE;1716600
11201;AYSÉN;7212687
11202;CISNES;5716021
11203;GUAITECAS;1974700
11301;COCHRANE;2515891
11302;O´HIGGINS;1592867
11303;TORTEL;1462180
11401;CHILE CHICO;4272869
11402;RÍO IBÁÑEZ;2113872
12101;PUNTA ARENAS;42514674
12102;LAGUNA BLANCA;1533796
12103;RÍO VERDE;3380175
12104;SAN GREGORIO;1721730
12201;CABO DE HORNOS;2743100
12301;PORVENIR;3124177
12302;PRIMAVERA;1572828
12303;TIMAUKEL;1323606
12401;NATALES;7985095
12402;TORRES DEL PAINE;1565900
13101;SANTIAGO;163383547
13102;CERRILLOS;21631584
13103;CERRO NAVIA;33120130
13104;CONCHALÍ;36648910
13105;EL BOSQUE;26147357
13106;ESTACIÓN CENTRAL;30377059
13107;HUECHURABA;36044000
13108;INDEPENDENCIA;19922968
13109;LA CISTERNA;15090000
13110;LA FLORIDA;95609849
13111;LA GRANJA;18350500
13112;LA PINTANA;29062197
13113;LA REINA;34268660
13114;LAS CONDES;339980450
13115;LO BARNECHEA;92819385
13116;LO ESPEJO;16752214
13117;LO PRADO;32938722
13118;MACUL;33799600
13119;MAIPÚ;119318265
13120;ÑUÑOA;63443811
13121;PEDRO AGUIRRE CERDA;14788025
13122;PEÑALOLÉN;56733837
13123;PROVIDENCIA;125041538
13124;PUDAHUEL;87884438
13125;QUILICURA;46258275
13126;QUINTA NORMAL;27227977
13127;RECOLETA;35469622
13128;RENCA;37374165
13129;SAN JOAQUÍN;30509260
13130;SAN MIGUEL;29790072
13131;SAN RAMÓN;15302965
13132;VITACURA;97000000
13201;PUENTE ALTO;85384573
13202;PIRQUE;8778703
13203;SAN JOSÉ DE MAIPO;5948974
13301;COLINA;50974140
13302;LAMPA;36139088
13303;TILTIL;3995001
13401;SAN BERNARDO;52127690
13402;BUIN;23852125
13403;CALERA DE TANGO;8965100
13404;PAINE;12509277
13501;MELIPILLA;34185591
13502;ALHUÉ;6068911
13503;CURACAVÍ;6464280
13504;MARÍA PINTO;6326744
13505;SAN PEDRO;3145694
13601;TALAGANTE;13429420
13602;EL MONTE;6400000
13603;ISLA DE MAIPO;6342052
13604;PADRE HURTADO;9898130
13605;PEÑAFLOR;14636053
14101;VALDIVIA;34900000
14102;CORRAL;2340000
14103;LANCO;3602277
14104;LOS LAGOS;3946225
14105;MÁFIL;2080033
14106;MARIQUINA;3452100
14107;PAILLACO;3497219
14108;PANGUIPULLI;16864000
14201;LA UNIÓN;6839300
14202;FUTRONO;3486415
14203;LAGO RANCO;3135370
14204;RÍO BUENO;5771272
15101;ARICA;37808221
15102;CAMARONES;2478356
15201;PUTRE;2664568
15202;GENERAL LAGOS;1438262
16101;CHILLÁN;33169675
16102;BULNES;4529280
16103;CHILLÁN VIEJO;5256732
16104;EL CARMEN;3129310
16105;PEMUCO;2925257
16106;PINTO;3404615
16107;QUILLÓN;6089227
16108;SAN IGNACIO;3709991
16109;YUNGAY;4031952
16201;QUIRIHUE;3598726
16202;COBQUECURA;2575353
16203;COELEMU;4393538
16204;NINHUE;2098227
16205;PORTEZUELO;1878677
16206;RÁNQUIL;2450955
16207;TREHUACO;2120717
16301;SAN CARLOS;10459691
16302;COIHUECO;5001190
16303;ÑIQUÉN;3386698
16304;SAN FABIÁN;1798500
16305;SAN NICOLÁS;3979700